719580,2015-10-09,18:10:39,-2.7,-5.9,922.7,1014.1,22.6,0.09,0.1,111000,50.1,181,4.7
724074,2015-10-09,18:10:39,5.7,1.9,1010.7,1007.3,13.3,0.00,0.0,000000,9.9,129,5.5
10780,2015-10-09,18:10:39,1.7,-1.2,1002.5,1003.5,30.7,0.13,0.0,010000,50.0,268,29.9
949260,2015-10-09,18:10:39,3.5,-4.8,965.2,1015.1,20.7,0.00,0.4,001000,56.4,184,11.7
728280,2015-10-09,18:10:39,-3.7,-10.9,961.4,1025.1,23.6,0.00,0.0,100000,22.7,138,9.6
488695,2015-10-09,18:10:39,13.4,7.9,952.1,925.0,10.9,0.00,0.0,000000,49.0,91,11.7
307770,2015-10-09,18:10:39,-3.1,-10.8,999.5,1016.4,28.8,0.05,0.0,110000,63.0,208,9.3
101360,2015-10-09,18:10:39,2.2,2.0,1006.7,1008.7,10.1,0.06,0.0,010000,54.5,181,19.2
64650,2015-10-09,18:10:39,3.2,0.8,1021.5,1028.1,15.6,0.15,0.0,010000,71.1,217,6.4
530680,2015-10-09,18:10:39,0.5,-13.3,935.0,1020.1,28.0,0.01,0.0,010000,50.0,330,15.0
724095,2015-10-09,18:10:39,5.3,0.6,1002.1,1006.1,14.6,0.00,0.0,000000,99.1,126,11.9
30250,2015-10-09,18:10:39,8.4,5.4,1000.8,1006.9,26.1,0.00,0.0,000000,96.4,128,34.2
23380,2015-10-09,18:10:39,0.6,-2.4,994.4,1017.3,38.8,0.01,0.0,010000,61.0,258,6.0
23660,2015-10-09,18:10:39,2.3,-0.3,1006.5,1005.8,29.1,0.18,0.0,010000,69.0,197,9.9
890540,2015-10-09,18:10:39,-3.3,-3.1,955.6,982.8,4.9,0.00,0.0,100000,12.5,68,69.2
539750,2015-10-09,18:10:39,6.6,-1.8,1014.0,1020.5,12.3,0.11,0.0,010000,98.0,316,4.6
25440,2015-10-09,18:10:39,2.8,0.6,997.2,1006.4,27.8,0.07,0.0,010000,93.5,151,18.2
28970,2015-10-09,18:10:39,1.7,-0.3,1010.5,1010.0,19.7,0.14,0.1,011000,72.8,293,13.0
722250,2015-10-09,18:10:39,10.3,5.4,1008.8,1017.2,17.6,0.11,0.0,010000,55.3,297,5.3
478170,2015-10-09,18:10:39,12.1,3.3,1016.3,1016.5,23.8,0.23,0.0,010000,75.7,61,8.4
227680,2015-10-09,18:10:39,2.2,-0.3,1007.1,1010.8,21.0,0.43,0.1,011000,58.7,68,12.5
948040,2015-10-09,18:10:39,8.6,4.3,1018.4,1018.5,20.9,0.18,0.0,010000,54.2,281,30.3
722925,2015-10-09,18:10:39,9.0,6.3,1008.2,1013.3,16.4,0.00,0.0,000000,35.6,108,9.3
745946,2015-10-09,18:10:39,6.7,2.2,1007.2,1007.8,8.2,0.00,0.0,000000,89.6,270,7.3
728895,2015-10-09,18:10:39,2.1,-1.2,1001.0,1017.8,23.9,0.00,0.0,000000,90.6,60,23.1
725958,2015-10-09,18:10:39,-0.8,-11.8,1018.3,1018.1,16.1,0.00,0.0,100000,12.1,292,10.8
155020,2015-10-09,18:10:39,8.1,5.8,1024.0,1027.9,19.0,0.00,0.0,000000,75.3,219,5.3
744904,2015-10-09,18:10:39,4.1,-0.1,1029.5,1020.4,12.2,1.65,0.0,010000,50.0,149,10.5
765906,2015-10-09,18:10:39,10.8,7.1,1006.4,1007.8,10.4,0.39,0.0,010000,50.0,235,10.2
703080,2015-10-09,18:10:39,1.9,-1.3,1003.9,1003.8,14.7,0.12,0.1,011000,92.4,36,29.2
917920,2015-10-09,18:10:39,17.8,13.1,1011.5,1016.1,33.3,0.01,0.0,010000,65.9,25,15.1
718260,2015-10-09,18:10:39,-1.7,-4.3,954.9,1020.8,22.1,0.18,0.6,111000,74.2,332,14.0
544360,2015-10-09,18:10:39,2.5,-4.9,1020.6,1020.4,25.9,0.04,0.0,010000,64.1,205,5.7
722209,2015-10-09,18:10:39,7.4,-8.3,1001.1,996.9,16.1,0.00,0.0,000000,60.3,355,8.1
544230,2015-10-09,18:10:39,2.5,-4.4,973.8,1020.1,20.7,0.02,0.0,010000,51.9,20,5.0
42801,2015-10-09,18:10:39,2.5,-2.4,988.2,991.9,47.9,0.00,0.0,000000,22.4,275,8.5
165200,2015-10-09,18:10:39,5.9,2.5,1016.1,1015.6,13.9,0.06,0.0,010000,84.5,307,8.6
723119,2015-10-09,18:10:39,4.1,-3.9,1000.0,1012.9,22.3,0.07,0.1,011000,79.1,140,10.9
749105,2015-10-09,18:10:39,5.2,-0.9,1013.2,1016.0,29.4,0.00,0.0,000000,14.7,175,13.1
300540,2015-10-09,18:10:39,-4.7,-10.8,1005.9,1025.2,18.4,0.00,0.0,100000,47.2,157,6.3
282780,2015-10-09,18:10:39,-7.3,-14.1,989.3,1018.5,32.0,0.00,0.0,100000,56.1,267,16.2
938060,2015-10-09,18:10:39,5.4,1.8,1003.6,998.7,35.4,0.00,0.0,000000,10.9,268,16.3
36720,2015-10-09,18:10:39,6.4,4.1,1006.1,1007.5,16.0,0.11,0.2,011000,55.2,14,13.8
725247,2015-10-09,18:10:39,8.5,2.8,1005.0,1001.0,12.1,0.00,0.5,001000,97.3,223,12.4
788660,2015-10-09,18:10:39,24.9,21.0,1012.3,1014.1,21.0,0.30,0.0,010000,85.9,225,13.9
726508,2015-10-09,18:10:39,3.3,-1.8,1018.8,1017.3,14.6,0.05,0.0,010000,50.0,193,8.5
164300,2015-10-09,18:10:39,14.0,10.0,1036.9,1021.7,20.5,0.00,0.0,000000,5.6,358,3.9
132850,2015-10-09,18:10:39,10.6,6.3,1011.2,1020.1,15.5,0.02,0.0,010000,50.0,119,7.4
701170,2015-10-09,18:10:39,-1.7,-3.7,996.8,1004.9,20.1,0.02,0.7,111000,74.8,119,25.1
911620,2015-10-09,18:10:39,18.0,12.0,993.5,1017.6,16.1,0.00,0.0,000000,55.1,129,8.1
314180,2015-10-09,18:10:39,-0.6,-9.7,998.7,1015.3,41.4,0.00,0.0,100000,50.9,244,4.3
544970,2015-10-09,18:10:39,5.4,-0.1,1018.6,1019.8,13.8,0.11,0.0,010000,50.0,349,9.2
718700,2015-10-09,18:10:39,0.3,-8.7,919.6,1015.5,19.7,0.03,0.2,010000,76.2,163,20.6
75880,2015-10-09,18:10:39,9.1,-0.3,964.9,1018.9,18.8,0.00,0.0,000000,61.2,56,10.0
854880,2015-10-09,18:10:39,3.4,-0.7,1008.1,1016.6,10.8,0.01,0.0,010000,50.0,104,10.1
